Local	Código do Produto	Produto	Estoque (UN)	Pendência (UN)	Disponível (UN)	Lote	Lote Indústria	Data de Fabricação	Data de Vencimento	Data de Entrada	Data de Alocação	Estado	Setor	Tipo	Ordem de Recebimento	Adicionar (UN)	Tipo do Local	Qtde Separação Específica Não Roteirizado	Código Produto Depositante	Barra	Embalagem	Fator de Conversão	Estoque na Embalagem	Pendência na Embalagem	Id	Adicionar na Embalagem	Disponível na Embalagem	Barra do Lote	Embalagem do Lote	Fator do Lote	Estoque Fator Lote	Pendência Fator Lote	Adicionar Fator Lote	Disponível Fator Lote	Código do Depositante	Depositante	Buffer	Local Ativo	Lote Liberado	Período de Validade	Dias Vencidos	Maturação	Prazo de Validade	Prazo de Comercialização	Prazo Crítico	Tipo do Recebimento	Classificação	Nota Fiscal	Número NF Entrada	Data do Bloqueio	Motivo do Bloqueio	Usuário de Bloqueio	Data da Liberação	Motivo da Liberação	Usuário da Liberação	Motivo Avaria Conf. Entrada	Usuário que Avariou	Data da Avaria	Lote Adicional	Peso (Kg)	Região	Família	Marca	idProduto	idDepositante	Número Contrato	Entidade Pagadora	CNPJ	Inscrição Estadual	Data de fabricação truncada	Data de vencimento truncada	Barra LPN
1D0961	B2C-08	CX B2C 08	810	0	810	161561		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:30:17	11/06/2026 07:30:17	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-08	2000001303001	UN	1	810	0	322292	0	810	2000001303001	UN	1	810	0	0	810	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11843 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13030	20					01/06/2026	01/06/2030	
1D1161	B2C-08	CX B2C 08	810	0	810	161562		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:30:23	11/06/2026 07:30:23	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-08	2000001303001	UN	1	810	0	322293	0	810	2000001303001	UN	1	810	0	0	810	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11844 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13030	20					01/06/2026	01/06/2030	
1D4161	B2C-08	CX B2C 08	990	0	990	161827		01/06/2026 00:00:00	01/06/2030 00:00:00	15/06/2026 15:23:35	15/06/2026 15:23:36	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-08	2000001303001	UN	1	990	0	323600	0	990	2000001303001	UN	1	990	0	0	990	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11967 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13030	20					01/06/2026	01/06/2030	
1D5131	B2C-AC3	COLMEIA B2C AC3	1800	0	1800	161396		01/06/2026 00:00:00	01/06/2030 00:00:00	10/06/2026 15:02:31	10/06/2026 15:02:31	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-AC3	2000001304801	UN	1	1800	0	322014	0	1800	2000001304801	UN	1	1800	0	0	1800	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11718 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13048	20					01/06/2026	01/06/2030	
1D5131	B2C-03	CX B2C 03	475	0	475	161397		01/06/2026 00:00:00	01/06/2030 00:00:00	10/06/2026 15:02:31	10/06/2026 15:02:31	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-03	2000001302701	UN	1	475	0	322015	0	475	2000001302701	UN	1	475	0	0	475	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11718 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13027	20					01/06/2026	01/06/2030	
1D7961	B2C-AC1	COLMEIA B2C AC1	15000	0	15000	161398		01/06/2026 00:00:00	01/06/2030 00:00:00	10/06/2026 15:03:00	10/06/2026 15:03:00	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-AC1	2000001304601	UN	1	15000	0	322016	0	15000	2000001304601	UN	1	15000	0	0	15000	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11719 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13046	20					01/06/2026	01/06/2030	
1D2151	B2C-08	CX B2C 08	810	0	810	161399		01/06/2026 00:00:00	01/06/2030 00:00:00	10/06/2026 15:03:07	10/06/2026 15:03:07	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-08	2000001303001	UN	1	810	0	322017	0	810	2000001303001	UN	1	810	0	0	810	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11720 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13030	20					01/06/2026	01/06/2030	
1D1961	B2C-25	CX B2C 25	360	0	360	161400		01/06/2026 00:00:00	01/06/2030 00:00:00	10/06/2026 15:03:18	10/06/2026 15:03:18	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-25	2000001304501	UN	1	360	0	322018	0	360	2000001304501	UN	1	360	0	0	360	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11721 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13045	20					01/06/2026	01/06/2030	
1D8161	B2C-03	CX B2C 03	3900	0	3900	161229		01/06/2026 00:00:00	01/06/2030 00:00:00	09/06/2026 11:16:29	09/06/2026 11:16:29	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-03	2000001302701	UN	1	3900	0	321067	0	3900	2000001302701	UN	1	3900	0	0	3900	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11659 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13027	20					01/06/2026	01/06/2030	
1D4931	B2C-10	CX B2C 10	3360	0	3360	161590		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 09:54:12	11/06/2026 09:54:12	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-10	2000001303101	UN	1	3360	0	322389	0	3360	2000001303101	UN	1	3360	0	0	3360	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11879 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13031	20					01/06/2026	01/06/2030	
