CODIGO                         DESCRICAO                                            SALDO DISPONIVEL           EMPENHO             ARMAZEM           GRUP      ENDERECAR           SALDO TOTAL                                                                                                             
YBEB2C-02                      CAIXA 2                                              4700                       0                   60                0450      1200                4700                                                                                                               
YBEB2C-03                      CAIXA 3                                              8275                       0                   60                0450      6475                8275                                                                                                               
YBEB2C-04                      CAIXA 4                                              6833                       0                   60                0450      0                   6833                                                                                                               
YBEB2C-08                      CAIXA 8                                              800                        0                   60                0450      400                 800                                                                                                                
B2C-10                         CAIXA 10                                             1240                       0                   60                0450      400                 1240                                                                                                               
YBEB2C-11                      CAIXA 11                                             21925                      0                   60                0450      1200                21925                                                                                                              
YBEB2C-12                      CAIXA 12                                             15399                      0                   60                0450      11799               15399                                                                                                              
YBEB2C-13                      CAIXA 13                                             4275                       0                   60                0450      1000                4275                                                                                                               
YBEB2C-14                      CAIXA 14                                             18223                      0                   60                0450      7200                18223                                                                                                              
YBEB2C-15                      CAIXA 15                                             1920                       0                   60                0450      540                 1920                                                                                                               
YBEB2C-16                      CAIXA 16                                             8825                       0                   60                0450      6445                8825                                                                                                               
YBEB2C-17                      CAIXA 17                                             10200                      0                   60                0450      2520                10200                                                                                                              
YBEB2C-18                      CAIXA 18                                             260                        0                   60                0450      0                   260                                                                                                                
YBEB2C-19                      CAIXA 19                                             8897                       0                   60                0450      3203                8897                                                                                                               
YBEB2C-21                      CAIXA 21                                             630                        0                   60                0450      315                 630                                                                                                                
YBEB2C-22                      CAIXA 22                                             4345                       0                   60                0450      315                 4345                                                                                                               
B2C-AC2                        CAIXA AC2                                            15000                      0                   60                0450      0                   15000                                                                                                              
B2C-AC3                        CAIXA AC3                                            7075                       0                   60                0450      0                   7075                                                                                                               
HS161                          PRANCHA DE CABELO ALISADORA -                        18                         0                   60                0450      1                   18                                                                                                                 
HS161                          PRANCHA DE CABELO ALISADORA -                        10                         0                   62                0450      0                   10                                                                                                                 
KIT-INOV-NJIF                  LIVRO INOVE PARA SER UNICO E N                       1                          0                   62                0450      0                   1                                                                                                                  
KIT-INOV-NJIF                  LIVRO INOVE PARA SER UNICO E N                       55                         0                   60                0450      7                   55                                                                                                                 
SEC-127                        SECADOR 127V                                         23                         1                   60                0450      2                   24                                                                                                                 
SEC-127                        SECADOR 127V                                         1                          0                   62                0450      0                   1                                                                                                                  
SEC-127                        SECADOR 127V                                         1                          0                   64                0450      0                   1                                                                                                                  
SEC-220                        SECADOR 220V                                         1                          0                   62                0450      0                   1                                                                                                                  
SEC-220                        SECADOR 220V                                         1117                       4                   60                0450      0                   1121                                                                                                               
Y-1430700                      NECESSAIRE EMBORRACHADO CINZA                        1                          0                   60                0450      0                   1                                                                                                                  
Y-1802                         YBERA FASHION GOLD 100TIMETROS                       61391                      4202                60                0450      2                   65593                                                                                                              
Y-1802                         YBERA FASHION GOLD 100TIMETROS                       96                         0                   62                0450      0                   96                                                                                                                 
Y-5433                         CAMISA PERSONALIZADA BLACK NOV                       1                          0                   60                0450      1                   1                                                                                                                  
